,index,school_name,win_loss_pct,srs,pace,off_rtg,fta_per_fga_pct,fg3a_per_fga_pct,ts_pct,trb_pct,ast_pct,stl_pct,blk_pct,efg_pct,tov_pct,orb_pct,ft_rate,Season
51,53,ClemsonNCAA,0.794,17.81,65.0,114.4,0.283,0.388,0.566,52.0,52.0,11.2,10.0,0.534,13.6,33.7,0.218,2025
52,54,Cleveland State,0.639,-1.55,66.7,109.1,0.301,0.324,0.539,50.8,50.8,12.9,14.4,0.506,14.6,35.3,0.22,2025
53,55,Coastal Carolina,0.313,-12.13,64.4,103.2,0.344,0.399,0.531,51.5,49.6,5.1,4.5,0.497,16.0,29.4,0.241,2025
54,56,Colgate,0.424,-7.71,66.9,106.9,0.228,0.425,0.566,49.2,52.6,9.5,6.9,0.544,15.0,24.0,0.167,2025
55,57,College of Charleston,0.727,-0.6,70.3,108.3,0.348,0.399,0.557,50.1,58.9,9.1,6.2,0.525,14.2,26.6,0.249,2025
56,58,Colorado,0.4,9.62,68.2,101.6,0.358,0.373,0.546,51.4,58.4,10.2,11.0,0.504,18.4,29.2,0.269,2025
57,59,Colorado StateNCAA,0.722,13.94,66.3,112.3,0.316,0.428,0.59,52.3,62.3,7.7,7.9,0.555,15.3,27.0,0.245,2025
58,60,Columbia,0.444,-9.18,71.2,110.1,0.29,0.398,0.562,50.3,61.0,10.9,5.9,0.533,13.5,27.5,0.213,2025
59,61,ConnecticutNCAA,0.686,17.87,64.6,117.6,0.308,0.427,0.586,54.6,63.5,8.3,17.5,0.55,14.5,35.5,0.244,2025
60,63,Coppin State,0.2,-21.26,69.2,89.5,0.363,0.321,0.484,45.2,51.5,11.7,5.6,0.444,18.8,26.6,0.247,2025
61,64,Cornell,0.621,0.91,72.2,117.8,0.277,0.489,0.616,50.7,62.5,8.7,8.5,0.592,14.8,27.5,0.209,2025
62,65,CreightonNCAA,0.694,16.49,67.7,110.7,0.286,0.489,0.586,52.2,63.1,5.3,10.5,0.561,16.0,26.4,0.208,2025
63,66,Dartmouth,0.5,-4.74,71.9,107.1,0.304,0.471,0.553,51.0,59.0,7.1,7.8,0.52,14.1,24.7,0.226,2025
64,67,Davidson,0.515,1.02,66.6,109.0,0.29,0.416,0.556,49.5,57.2,8.6,7.4,0.525,12.9,24.6,0.216,2025
65,68,Dayton,0.676,8.14,66.1,112.4,0.376,0.41,0.57,50.9,59.3,10.5,10.6,0.532,13.6,29.6,0.279,2025
66,69,Delaware,0.444,-6.11,70.4,109.7,0.3,0.408,0.585,46.8,51.6,9.1,7.4,0.551,15.2,23.0,0.235,2025
67,70,Delaware State,0.533,-12.24,71.8,108.7,0.339,0.222,0.538,52.4,48.1,11.9,7.5,0.502,14.7,36.2,0.245,2025
68,71,Denver,0.344,-10.4,68.7,103.7,0.329,0.367,0.549,47.5,44.8,9.8,7.6,0.513,16.1,26.3,0.243,2025
69,72,DePaul,0.412,5.3,67.7,104.7,0.278,0.462,0.551,49.6,59.5,8.8,9.3,0.525,16.0,26.9,0.196,2025
70,73,Detroit Mercy,0.25,-13.46,67.7,97.6,0.29,0.288,0.497,51.2,44.4,8.4,8.0,0.459,16.2,32.5,0.213,2025
71,74,DrakeNCAA,0.886,9.6,60.2,114.0,0.423,0.366,0.578,54.9,56.0,14.6,8.5,0.547,15.5,35.5,0.296,2025
72,75,Drexel,0.545,-3.64,64.2,107.6,0.247,0.372,0.547,52.9,49.4,7.5,12.0,0.525,15.9,33.5,0.173,2025
73,76,DukeNCAA,0.897,30.72,66.6,125.0,0.329,0.446,0.613,55.2,58.6,10.1,10.9,0.579,12.1,34.0,0.26,2025
74,77,Duquesne,0.406,1.18,65.4,104.8,0.296,0.428,0.528,50.6,55.6,10.8,12.6,0.505,15.6,33.3,0.193,2025
75,78,East Carolina,0.576,-0.69,68.0,109.4,0.36,0.349,0.53,51.7,49.8,10.9,11.8,0.491,13.2,34.9,0.259,2025
76,79,East Tennessee State,0.594,-1.07,66.1,108.7,0.322,0.414,0.531,52.7,50.9,12.1,11.6,0.506,13.8,35.2,0.213,2025
77,80,East Texas A&M,0.161,-12.38,67.8,94.5,0.28,0.483,0.514,45.4,61.6,12.3,10.7,0.492,19.7,28.1,0.18,2025
78,81,Eastern Illinois,0.387,-12.62,67.9,97.2,0.338,0.289,0.493,49.3,47.2,13.1,9.1,0.458,15.6,30.9,0.229,2025
79,82,Eastern Kentucky,0.563,-3.86,68.7,111.5,0.269,0.425,0.531,49.7,47.2,12.4,9.3,0.498,11.8,34.1,0.201,2025
80,84,Eastern Michigan,0.5,-9.21,68.3,106.8,0.336,0.381,0.561,49.2,48.0,10.1,9.8,0.526,16.5,30.1,0.247,2025
81,85,Eastern Washington,0.313,-8.85,68.4,104.3,0.309,0.371,0.555,47.3,53.4,11.0,9.0,0.517,16.3,27.0,0.241,2025
82,86,Elon,0.515,-4.32,66.2,110.9,0.382,0.423,0.554,54.7,49.2,7.7,11.7,0.512,15.8,37.6,0.286,2025
83,87,Evansville,0.344,-6.02,67.1,98.4,0.304,0.409,0.525,47.8,53.0,8.9,13.8,0.495,15.8,22.8,0.212,2025
84,88,Fairfield,0.375,-14.52,66.7,100.9,0.26,0.379,0.5,47.5,51.5,10.2,8.4,0.467,13.3,29.2,0.189,2025
85,89,FDU,0.394,-11.96,69.2,104.9,0.331,0.421,0.54,47.7,52.9,9.9,7.1,0.507,14.7,27.2,0.235,2025
86,90,FloridaNCAA,0.9,27.78,70.6,120.1,0.349,0.437,0.58,55.6,52.4,10.5,11.7,0.549,13.2,38.5,0.254,2025
87,91,Florida A&M,0.452,-13.37,69.3,104.1,0.359,0.469,0.555,49.3,51.7,7.5,8.6,0.521,17.4,28.6,0.256,2025
88,92,Florida Atlantic,0.529,3.72,69.8,111.6,0.33,0.408,0.562,50.6,57.4,8.9,11.1,0.535,14.1,31.1,0.23,2025
89,93,Florida Gulf Coast,0.559,-2.89,65.6,110.0,0.232,0.384,0.555,52.6,51.0,8.4,7.1,0.537,14.0,30.3,0.159,2025
90,94,Florida International,0.303,-6.72,69.6,98.0,0.348,0.303,0.508,50.3,49.1,12.7,13.6,0.468,16.7,31.6,0.246,2025
91,95,Florida State,0.531,8.43,70.2,105.6,0.394,0.337,0.546,49.4,50.0,10.8,14.1,0.507,15.3,29.7,0.282,2025
92,96,Fordham,0.364,-4.44,70.5,104.2,0.333,0.416,0.527,50.0,53.2,10.6,8.7,0.491,15.7,31.9,0.239,2025
93,97,Fresno State,0.188,-5.6,70.7,97.3,0.364,0.353,0.5,45.9,44.0,10.4,8.7,0.461,15.4,27.0,0.252,2025
94,98,Furman,0.714,-0.15,67.0,113.9,0.336,0.512,0.576,51.4,64.0,9.7,9.0,0.552,14.3,30.9,0.231,2025
95,99,Gardner-Webb,0.355,-8.21,70.2,105.1,0.362,0.331,0.55,52.0,39.4,7.4,8.8,0.519,17.9,33.4,0.251,2025
96,100,George Mason,0.75,7.2,65.3,106.9,0.423,0.369,0.56,53.0,52.5,11.3,10.8,0.521,16.9,32.0,0.302,2025
97,101,George Washington,0.618,2.0,67.5,107.2,0.404,0.419,0.548,50.1,55.5,13.0,8.5,0.512,15.9,31.7,0.28,2025
98,102,Georgetown,0.529,8.18,68.4,105.2,0.256,0.381,0.529,50.8,52.7,11.5,10.7,0.504,14.6,31.6,0.18,2025
99,103,GeorgiaNCAA,0.606,16.36,68.6,109.8,0.401,0.37,0.558,52.8,47.8,11.3,14.5,0.521,16.1,36.0,0.288,2025
100,105,Georgia Southern,0.515,-7.53,70.0,104.4,0.267,0.442,0.527,49.5,50.7,11.1,10.6,0.506,16.0,33.0,0.175,2025
101,106,Georgia State,0.424,-7.51,69.8,107.3,0.328,0.338,0.537,51.4,44.7,7.5,7.8,0.508,14.5,33.2,0.225,2025
102,107,Georgia Tech,0.5,6.3,69.0,104.4,0.307,0.368,0.53,51.0,56.1,8.4,10.2,0.502,15.0,30.3,0.211,2025
103,108,GonzagaNCAA,0.743,23.75,70.4,121.5,0.307,0.336,0.597,53.8,62.4,10.5,8.3,0.56,11.6,32.5,0.246,2025
104,109,Grambling,0.353,-12.44,67.0,99.0,0.333,0.348,0.526,49.2,48.4,9.9,9.8,0.488,16.7,26.7,0.243,2025
105,110,Grand CanyonNCAA,0.765,4.97,72.5,107.5,0.439,0.341,0.554,52.5,51.8,12.6,13.2,0.509,15.7,32.6,0.321,2025
106,111,Green Bay,0.125,-13.21,69.0,100.9,0.367,0.459,0.555,44.7,60.2,7.1,5.5,0.508,16.6,19.1,0.288,2025
107,112,Hampton,0.515,-5.21,67.0,107.8,0.3,0.369,0.52,52.5,45.7,11.2,9.1,0.487,13.4,35.3,0.214,2025
108,113,Harvard,0.444,-7.89,66.7,102.1,0.249,0.399,0.539,47.4,54.3,11.0,7.7,0.508,15.8,25.1,0.191,2025
109,114,Hawaii,0.484,-3.57,66.7,104.2,0.392,0.382,0.552,54.2,49.4,5.3,6.0,0.511,17.5,31.3,0.29,2025
110,115,High PointNCAA,0.829,5.3,67.1,121.3,0.367,0.393,0.599,53.7,45.4,9.1,7.8,0.564,13.2,35.0,0.28,2025
111,116,Hofstra,0.455,-4.97,64.9,101.2,0.256,0.431,0.527,49.9,56.3,9.0,11.9,0.5,15.1,25.7,0.183,2025
112,117,Holy Cross,0.406,-12.54,66.2,104.3,0.22,0.417,0.558,49.2,48.3,6.9,7.8,0.537,16.1,23.4,0.159,2025
113,118,HoustonNCAA,0.875,28.45,62.4,116.2,0.272,0.347,0.547,53.9,45.1,12.2,15.8,0.517,11.8,36.9,0.201,2025
114,119,Houston Christian,0.375,-8.17,65.3,101.0,0.312,0.439,0.524,46.9,46.9,12.1,9.4,0.495,15.7,26.7,0.214,2025
115,120,Howard,0.375,-12.02,71.5,107.5,0.367,0.399,0.575,49.9,59.4,7.8,7.7,0.539,18.1,30.1,0.272,2025
116,121,Idaho,0.424,-8.0,67.1,109.3,0.339,0.473,0.559,49.6,49.2,8.7,8.1,0.522,15.2,29.9,0.254,2025
117,122,Idaho State,0.5,-3.95,66.7,110.9,0.336,0.376,0.532,56.4,51.1,9.0,12.9,0.492,13.3,39.7,0.249,2025
118,123,IllinoisNCAA,0.629,21.59,72.3,114.8,0.344,0.472,0.563,56.0,51.7,5.9,9.2,0.524,13.6,35.8,0.262,2025
119,124,Illinois State,0.611,1.91,66.1,114.2,0.311,0.472,0.598,50.8,54.3,8.4,5.5,0.57,14.2,24.9,0.233,2025
120,126,Illinois-Chicago,0.548,-0.63,69.1,108.2,0.339,0.392,0.556,51.8,57.3,9.6,8.2,0.523,15.0,30.5,0.244,2025
121,127,Incarnate Word,0.528,-5.61,65.4,112.1,0.289,0.358,0.557,52.5,45.2,10.5,10.1,0.534,14.7,35.7,0.198,2025
122,128,Indiana,0.594,14.63,69.1,107.7,0.331,0.332,0.543,51.9,58.4,8.4,9.2,0.511,14.4,31.5,0.233,2025
123,129,Indiana State,0.438,-3.15,72.4,109.4,0.344,0.494,0.585,50.6,57.2,9.3,5.9,0.551,17.0,26.7,0.258,2025
124,130,Iona,0.5,-8.58,68.6,100.9,0.279,0.347,0.504,53.1,56.4,13.9,9.4,0.475,17.3,39.1,0.191,2025
125,131,Iowa,0.515,12.85,71.4,115.1,0.26,0.41,0.587,46.4,59.8,9.3,11.0,0.568,12.2,25.1,0.183,2025
126,132,Iowa StateNCAA,0.714,22.33,69.4,114.1,0.379,0.368,0.586,53.0,53.4,13.2,10.1,0.549,14.9,32.2,0.285,2025
127,133,IU Indy,0.313,-11.52,66.8,112.0,0.337,0.469,0.553,49.4,54.3,9.3,6.1,0.516,13.1,31.9,0.25,2025
128,134,Jackson State,0.471,-9.39,70.1,100.4,0.375,0.337,0.521,50.1,49.7,10.0,9.6,0.477,16.8,30.1,0.274,2025
129,135,Jacksonville,0.576,-4.29,68.7,104.5,0.292,0.339,0.527,52.4,52.1,11.2,12.3,0.502,16.3,35.8,0.197,2025
130,136,Jacksonville State,0.639,1.76,66.0,110.9,0.313,0.373,0.547,53.8,44.9,7.6,10.3,0.511,13.1,31.8,0.236,2025
131,137,James Madison,0.625,-1.72,65.9,111.2,0.306,0.443,0.551,51.4,45.3,9.1,8.5,0.516,13.6,32.1,0.231,2025
132,138,KansasNCAA,0.618,20.09,69.2,108.7,0.244,0.341,0.554,52.6,61.2,8.9,12.9,0.531,14.7,30.5,0.175,2025
133,139,Kansas City,0.394,-5.66,66.3,109.1,0.321,0.445,0.545,53.4,49.9,11.2,10.1,0.506,15.3,35.6,0.244,2025
134,140,Kansas State,0.485,10.89,67.9,103.9,0.276,0.402,0.532,48.8,59.0,10.8,9.2,0.506,15.4,29.4,0.191,2025
135,141,Kennesaw State,0.576,0.5,71.6,106.1,0.368,0.458,0.539,54.2,51.2,9.2,11.6,0.501,16.1,34.4,0.265,2025
136,142,Kent State,0.667,1.42,67.7,108.2,0.3,0.372,0.531,53.5,46.9,11.0,9.7,0.495,14.5,35.8,0.224,2025
137,143,KentuckyNCAA,0.667,21.26,72.2,116.5,0.352,0.412,0.589,51.9,57.0,9.5,11.4,0.559,13.2,28.2,0.257,2025
138,144,La Salle,0.424,-3.64,69.6,103.1,0.307,0.335,0.507,50.0,45.9,10.3,10.1,0.469,13.1,31.0,0.223,2025
139,145,Lafayette,0.394,-10.19,65.9,102.8,0.304,0.406,0.533,48.6,60.1,8.7,9.8,0.506,14.6,25.0,0.208,2025
140,147,Lamar,0.606,-2.17,66.8,104.2,0.284,0.33,0.513,52.4,58.6,11.1,14.2,0.485,15.5,36.0,0.195,2025
141,148,Le Moyne,0.281,-17.81,69.0,104.6,0.367,0.414,0.56,47.9,55.0,9.8,6.1,0.529,17.3,26.9,0.259,2025
142,149,Lehigh,0.367,-10.29,67.3,103.6,0.312,0.379,0.546,47.5,52.9,8.5,5.7,0.521,14.3,22.2,0.213,2025
143,150,LibertyNCAA,0.8,7.42,67.1,112.7,0.288,0.489,0.596,48.9,61.4,9.8,7.8,0.583,13.7,20.7,0.19,2025
144,151,Lindenwood,0.485,-13.17,70.6,99.3,0.358,0.342,0.506,49.3,44.2,11.7,10.9,0.47,15.2,30.4,0.243,2025
145,152,LipscombNCAA,0.714,4.39,68.0,115.2,0.305,0.474,0.591,51.1,55.3,10.1,7.8,0.555,12.8,25.4,0.242,2025
146,153,Little Rock,0.576,-6.86,68.1,101.1,0.289,0.308,0.531,48.2,53.0,13.2,16.4,0.502,17.5,30.6,0.204,2025
147,154,Long Beach State,0.219,-10.29,65.9,100.8,0.36,0.368,0.541,48.3,49.5,8.5,8.5,0.498,18.8,29.7,0.272,2025
148,155,Long Island University,0.515,-10.97,65.5,101.5,0.271,0.34,0.518,52.8,46.7,12.2,11.5,0.488,16.6,33.6,0.195,2025
149,156,Longwood,0.563,-4.63,70.6,110.8,0.454,0.339,0.563,52.2,50.4,10.8,6.5,0.519,15.2,33.1,0.33,2025
150,157,Louisiana,0.364,-10.7,66.7,97.4,0.305,0.38,0.497,44.4,44.9,11.0,8.4,0.458,14.1,26.2,0.222,2025
151,158,Louisiana State,0.438,9.93,69.5,105.0,0.325,0.435,0.543,48.5,48.8,10.1,11.7,0.511,16.1,29.5,0.232,2025
152,159,Louisiana Tech,0.625,1.45,66.6,109.1,0.342,0.41,0.571,53.0,58.4,9.5,11.5,0.536,16.3,30.3,0.256,2025
153,160,Louisiana-Monroe,0.219,-15.1,68.7,99.6,0.309,0.343,0.501,49.1,52.8,10.3,7.0,0.464,14.5,30.2,0.22,2025
154,161,LouisvilleNCAA,0.771,18.49,69.0,113.3,0.337,0.478,0.567,52.7,51.3,9.2,8.1,0.532,14.0,31.9,0.251,2025
155,162,Loyola (IL),0.676,3.41,67.4,108.0,0.322,0.429,0.556,51.5,60.8,9.1,13.4,0.532,15.2,29.6,0.218,2025
156,163,Loyola (MD),0.387,-11.85,67.0,102.8,0.295,0.396,0.529,50.3,55.0,10.7,7.9,0.5,15.5,29.3,0.206,2025
157,164,Loyola Marymount,0.531,1.2,68.7,103.6,0.285,0.404,0.537,47.0,51.5,8.4,10.3,0.507,13.6,22.9,0.206,2025
158,165,Maine,0.588,-6.58,67.1,105.2,0.281,0.329,0.551,46.1,56.4,13.5,10.3,0.521,13.9,23.1,0.206,2025
159,166,Manhattan,0.548,-7.67,67.5,110.8,0.32,0.415,0.549,50.7,56.3,9.2,6.8,0.51,14.3,33.1,0.246,2025
160,168,Marist,0.667,-8.95,64.2,101.5,0.224,0.376,0.522,52.7,55.8,8.9,9.7,0.499,15.9,30.6,0.158,2025
161,169,MarquetteNCAA,0.676,18.19,68.1,111.6,0.259,0.464,0.546,48.7,49.5,13.1,10.7,0.52,11.8,30.0,0.187,2025
162,170,Marshall,0.606,-2.26,69.2,109.0,0.341,0.403,0.537,51.6,54.6,9.6,14.2,0.505,14.1,33.5,0.236,2025
163,171,MarylandNCAA,0.75,23.33,70.4,114.8,0.331,0.354,0.57,51.7,49.1,11.2,11.8,0.536,12.4,30.7,0.248,2025
164,172,Maryland-Baltimore County,0.406,-11.56,71.6,110.0,0.312,0.387,0.581,45.5,50.5,10.1,6.4,0.559,14.2,22.0,0.216,2025
165,173,Maryland-Eastern Shore,0.194,-20.65,68.7,98.2,0.349,0.367,0.515,47.5,48.9,7.7,5.6,0.484,17.0,27.8,0.232,2025
166,174,Massachusetts,0.375,-3.08,71.0,101.2,0.342,0.321,0.489,51.2,49.1,10.8,13.4,0.455,13.6,34.8,0.227,2025
167,175,Massachusetts-Lowell,0.531,-7.64,70.3,112.2,0.341,0.347,0.594,52.0,53.7,8.3,10.4,0.558,15.8,27.5,0.263,2025
168,176,McNeese StateNCAA,0.8,9.14,66.4,115.3,0.349,0.368,0.569,52.3,50.8,13.6,11.6,0.542,13.9,34.9,0.243,2025
169,177,MemphisNCAA,0.829,12.15,71.2,111.0,0.393,0.333,0.567,52.1,51.5,10.8,13.3,0.535,16.5,35.3,0.276,2025
170,178,Mercer,0.424,-8.44,72.4,103.9,0.289,0.402,0.522,50.6,47.4,11.5,7.8,0.5,14.2,29.7,0.189,2025
171,179,Mercyhurst,0.484,-15.65,65.4,102.6,0.308,0.358,0.539,44.8,57.0,11.1,6.9,0.494,14.6,23.8,0.247,2025
172,180,Merrimack,0.545,-4.65,64.7,100.7,0.244,0.429,0.521,41.3,49.7,14.6,10.6,0.494,12.5,20.8,0.177,2025
173,181,Miami (FL),0.226,0.38,67.6,108.6,0.264,0.385,0.551,48.2,47.0,9.4,9.6,0.519,14.0,28.2,0.202,2025
174,182,Miami (OH),0.735,-0.92,70.6,113.8,0.275,0.447,0.592,50.4,55.8,11.3,10.3,0.57,15.1,28.4,0.199,2025
175,183,MichiganNCAA,0.73,20.21,70.7,109.5,0.357,0.42,0.571,53.0,58.0,7.5,9.5,0.538,17.0,33.2,0.26,2025
176,184,Michigan StateNCAA,0.811,22.43,69.0,112.3,0.377,0.329,0.556,56.3,61.1,7.7,13.2,0.509,14.0,35.3,0.294,2025
177,185,Middle Tennessee,0.647,2.52,69.2,108.1,0.329,0.393,0.541,51.8,45.2,9.3,11.2,0.516,14.0,31.4,0.22,2025
178,186,Milwaukee,0.656,0.35,69.9,111.4,0.382,0.316,0.548,56.8,50.4,10.9,9.4,0.517,15.6,40.5,0.261,2025
179,187,Minnesota,0.469,8.48,63.8,104.6,0.315,0.359,0.525,49.4,61.3,9.3,12.9,0.499,14.3,30.2,0.209,2025
180,189,MississippiNCAA,0.667,18.28,69.2,110.8,0.353,0.4,0.552,47.1,53.2,12.6,11.8,0.514,11.4,25.5,0.26,2025
181,190,Mississippi StateNCAA,0.618,17.14,69.6,113.0,0.315,0.427,0.548,51.5,53.2,13.0,13.8,0.519,12.9,33.9,0.221,2025
182,191,Mississippi Valley State,0.097,-34.6,66.6,81.3,0.307,0.302,0.467,43.1,42.3,9.0,5.4,0.434,21.8,23.4,0.203,2025
183,192,MissouriNCAA,0.647,19.49,69.8,119.4,0.471,0.414,0.596,50.9,49.7,13.4,7.3,0.558,13.4,33.5,0.344,2025
